ID,Username,ProfileURL,Rate,RateText,Format,Title,Content,Helpful,Date,Thumbnails,Images,Video,Verified,ReviewURL
ROG43OBI09WEY,daya,https://www.amazon.in/gp/profile/amzn1.account.AFT7NLMKELRZL24T2AFCMIENSC5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,5.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Awesomebetter then any premium brands,"Usually I don't write review. But after using this product it compelled me to it, always  used gillete foam but after using this it feels that foam is so thick and smooth ,I have rough texture of beard it make it very uncomfortable to shave ,this makes it smooth and God it is not airy as gillete..and it's so economical compared to other brands...now I will give it shot to other products ..after hearing the shantanu podcasts ia m a big fan of founder as well ,even though I am hearing his podcast for 2 years never bought product even though his description of product ..but let me tell this as good as he tells about his product.",,Reviewed in India on 29 March 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/ROG43OBI09WEY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R1TJ915LUI1W40,HARIDAS S PIllai,https://www.amazon.in/gp/profile/amzn1.account.AHTIG677OUHDVWLKAUTN2QM263KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,5.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Appearance,Nice product,,Reviewed in India on 17 March 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R1TJ915LUI1W40/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R2QAEWINP1G0HB,Sudhir Pandey,https://www.amazon.in/gp/profile/amzn1.account.AHLTWBK4TBPXYOUG4ZZW6V3VBIDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,5,5.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Price,Good product,,Reviewed in India on 15 March 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R2QAEWINP1G0HB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
RJAIL5FBHD7A7,Amazonbuyer,https://www.amazon.in/gp/profile/amzn1.account.AHVXVE6VEC22XAZYX637OH2SBJ7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2,2.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Not great just an average,Not that great. The hairs remain hard when shaving compared to Gillette,,Reviewed in India on 9 February 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/RJAIL5FBHD7A7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R32TO6H4VOBUQ0,v kalyana chakravarthy,https://www.amazon.in/gp/profile/amzn1.account.AGUIQIIK5KL2DVMQWXJ4G5EQU6OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Item missing,"Bombay Shaving Company Charcoal Shaving Foam for Men, 425g (43% Extra) | More than 100 shaves | Activated Charcoal and Moroccan Argan Oil || Prime Exclusive Foam not received",,Reviewed in India on 6 February 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R32TO6H4VOBUQ0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R2T9N4QYU4RDLG,N K venugopala Rao,https://www.amazon.in/gp/profile/amzn1.account.AHPBCUOWZHH6PL3UH5AEHUD6XVTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Worst product,Worst cream. There is no foam in it,,Reviewed in India on 5 February 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R2T9N4QYU4RDLG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R1C8A9VYO789UH,faizanul haqfaizanul haq,https://www.amazon.in/gp/profile/amzn1.account.AGT3UQWT5GPRWKXL5HFFFG3LU2WA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,3,3.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Quality is not good,Ok ok product,,Reviewed in India on 2 February 2025,https://m.media-amazon.com/images/I/61OYbS7gg2L._SY88.jpg,https://m.media-amazon.com/images/I/61OYbS7gg2L.jpg,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R1C8A9VYO789UH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R3E7AJLD7DUMPG,Mitra,https://www.amazon.in/gp/profile/amzn1.account.AGUHL7XP5GB2TJH4P7CL6R4I3KCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,1,1.0 out of 5 stars,Style Name: Charcoal Shaving foam (425g),Unusable,"After two shaves, dispenser ceased to work. Any amount of pushing, prodding, heat application failed to elicit any foam ejection. Complete waste of money",One person found this helpful,Reviewed in India on 27 January 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R3E7AJLD7DUMPG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BGLGP83C
R3VSRANR9IEF0W,Placeholder,https://www.amazon.in/gp/profile/amzn1.account.AFEDJGJKK2VWBXYPRBEJHYAFLVHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,4,4.0 out of 5 stars,Pattern Name: Trimmer,Worthy,Good to buy,,Reviewed in India on 14 April 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R3VSRANR9IEF0W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2HFN2N1
R2LKT21S0ZJ5CR,Amazon Customer,https://www.amazon.in/gp/profile/amzn1.account.AEJDSIGWRDRRPT2HNMXIPS2E5N2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2,2.0 out of 5 stars,Pattern Name: Trimmer,Heat,Very hetting,,Reviewed in India on 14 April 2025,,,,Verified Purchase,https://www.amazon.in/gp/customer-reviews/R2LKT21S0ZJ5CR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D2HFN2N1
